,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PF (00007144),P_US_ALL_OTHERS,100.0,1454.6938775510205,303.265306122449,345.3061224489796,93.46938775510203,22.040816326530614,26.122448979591837,7.346938775510205,16.73469387755102,16.73469387755102,25.30612244897959,15.918367346938775,32.6530612244898,,,,,
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PF (00007144),P_US_ULTA,100.0,0.0,4.368932038834951,29.61165048543689,10.194174757281553,7.766990291262135,2.912621359223301,10.194174757281553,0.0,0.0,2.4271844660194173,1.4563106796116505,,,,,,
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PH (00007143),P_US_ULTA,100.0,0.0,3.3980582524271843,12.135922330097088,11.165048543689322,9.70873786407767,16.019417475728158,38.349514563106794,1.4563106796116505,0.9708737864077669,2.912621359223301,4.854368932038835,,,,,,
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PH PF (00006775),P_US_ALL_OTHERS,100.0,30.389632369830387,5.050834753805051,5.251514162405251,11.888441591411889,3.620691739503621,4.301309251804302,19.232582598919233,7.351394480107351,9.199821081009201,3.1044862728031046,0.20309723280020311,0.0,,,,,
Gucci,Gucci Guilty (00840),Gucci Guilty Liqueurs PH PF (00006775),P_US_ULTA,100.0,269.93318485523383,0.0,0.0,0.0,0.0,5.56792873051225,0.0,0.0,0.0,0.0,0.0,,,,,,
Gucci,Gucci Guilty (00840),Gucci Guilty Pour Femme (00003462),P_US_ALL_OTHERS,100.0,0.0,0.0,0.0,3000.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gucci,Gucci Guilty (00840),Gucci Guilty Supreme Male (00006459),P_US_ALL_OTHERS,100.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,213.33333333333334,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,0.0,0.0,0.0
Gucci,Gucci Heritage Lines (00843),Gucci Rush (00003480),P_US_ALL_OTHERS,100.0,0.0,101.71673819742489,26.609442060085836,24.463519313304722,45.493562231759654,16.738197424892704,21.888412017167383,16.738197424892704,30.90128755364807,23.17596566523605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gucci,Gucci by Gucci (00839),Gucci Oud Intense (00003457),P_US_ALL_OTHERS,100.0,0.0,227.53623188405797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,311.27214170692434,222.38325281803543,0.0,20.933977455716587,250.2415458937198
Gucci Make up,Gucci Eyes (01199),Gucci Eyelashes (00006501),P_US_ALL_OTHERS,100.0,15.495867768595042,4.0633608815427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
